Feature,Importance
Sensor5,0.22205384105238285
Vibrations,0.19307259021215367
Temperature,0.12368842495455562
Sensor1,0.10908443508892372
Sensor6,0.10069604121573872
RPM,0.09336062315875922
Sensor3,0.06899684305638747
Sensor4,0.05682384652866912
Humidity,0.02092801533883169
Sensor2,0.010925626109685718
Pressure,0.00036971328391207216
