,Time,Temperature,Humidity,RPM,Vibrations,Pressure,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Status
count,44640,44631.0,44640.0,44640.0,44640.0,44640.0,44640.0,40586.0,44640.0,44640.0,44640.0,44640.0,44640.0
mean,2020-01-16 11:59:30.000000256,28.300074577784954,65.11354443100359,66.44441687344914,52.04089583333334,70.78201164874552,2.4489822184921066,188.0309130476189,0.45221168568339337,876.1578520824363,6.2402591620639525,14.620523289261783,0.18167562724014336
min,2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2020-01-08 17:59:45,29.493855,64.965375,72.0,19.62,74.0,0.9231119999999999,197.98931,0.29041955719557194,879.0327291666666,6.77875,15.543218249999999,0.0
50%,2020-01-16 11:59:30,32.76739,68.739,72.0,31.98,76.0,1.5051124705882353,203.19412714285713,0.4185457564575646,918.9516000000001,7.061198399999971,15.765375937499998,0.0
75%,2020-01-24 05:59:15,34.81132999999995,73.896725,72.0,66.0225,76.0,3.1068864705882353,204.21529285714286,0.5947195571955682,936.5506500000001,7.123963099999999,16.0217308125,0.0
max,2020-01-31 23:59:00,44.9105,82.0721,99.6923076923077,311.88,94.0,14.67649411764706,242.85714285714286,1.853560147601476,1663.1323333333332,7.303702199999999,21.5246548125,2.0
std,,11.36443349992155,16.34834187412233,17.49699068104222,51.9383763567086,14.855275871037884,2.4441579501499437,40.47109178880488,0.2162031178903394,203.22764561160577,2.119066210369803,3.8355116234720237,0.5747241229046108
